Original_Filename,Current_Path,File_Type,Last_Modified,Guessed_Role,Guessed_Company,Resume_Type,Notes,Duplicate_Warning
Deva_Resume (1).pdf,Latest_6/Deva_Resume (1).pdf,pdf,2026-04-30,Applied ML / Deep Learning / Predictive Modeling,(general),Customized,"Tagline: ""Applied Machine Learning • Deep Learning • Predictive Modeling""; near-identical to Deva_Resume_Adobe_ML.pdf in body content","Near-duplicate of Deva_Resume_Adobe_ML.pdf"
Deva_Resume_coreAI.pdf,Latest_6/Deva_Resume_coreAI.pdf,pdf,2026-04-30,LLM Systems / Agentic AI / Model Evaluation,Microsoft Core AI,Customized,"Tagline: ""LLM Systems • Agentic AI • Model Evaluation""; companion .tex source in same folder",
Deva_Resume_Microsoft_CoreAI.tex,Latest_6/Deva_Resume_Microsoft_CoreAI.tex,tex,2026-04-30,LLM Systems / Agentic AI / Model Evaluation,Microsoft Core AI,Source,"LaTeX source of Deva_Resume_coreAI.pdf",
Deva_Resume_Adobe_ML.pdf,Latest_6/Deva_Resume_Adobe_ML.pdf,pdf,2026-04-26,Applied ML / Deep Learning,Adobe ML,Customized,"Tagline: ""Applied Machine Learning • Deep Learning • Predictive Modeling""","Body near-identical to Deva_Resume (1).pdf and Deva_Anand_Resume_Adobe_ML_Intern.pdf"
Deva_Anand_Resume_Adobe_ML_Intern.pdf,Latest_6/Deva_Anand_Resume_Adobe_ML_Intern.pdf,pdf,2026-04-26,Applied ML Intern,Adobe ML Intern,Customized,"Same content family as Deva_Resume_Adobe_ML.pdf; companion .tex + .log present",
Deva_Anand_Resume_Adobe_ML_Intern.tex,Latest_6/Deva_Anand_Resume_Adobe_ML_Intern.tex,tex,2026-04-26,Applied ML Intern,Adobe ML Intern,Source,"LaTeX source of the Adobe ML Intern PDF",
Deva_Anand_Resume_Adobe_ML_Intern.log,Latest_6/Deva_Anand_Resume_Adobe_ML_Intern.log,log,2026-04-26,Applied ML Intern,Adobe ML Intern,Build log,"pdflatex/xelatex compile log; can be deleted by user any time",
Deva_Resume.pdf,Latest_6/Deva_Resume.pdf,pdf,2026-04-26,SWE / Applied ML / Deep Learning,(general),General,"Tagline: ""Software Engineer • Applied ML • Deep Learning""; balanced backend + ML",
Deva_Resume_SDE.pdf,Latest_6/Deva_Resume_SDE.pdf,pdf,2026-04-22,SDE / Backend / Full-Stack / Distributed Systems,(general SDE),Customized,"Tagline: ""Software Engineer • Backend & Full-Stack Systems • Distributed Applications""",
Deva_Anand_Resume.pdf,By_Role/SDE_Backend/Deva_Anand_Resume.pdf,pdf,2026-04-22,Backend & Infrastructure / Distributed Systems,(general SDE),Customized,"Body identical to Deva_Resume_SRE.pdf — same byte count","Identical to Deva_Resume_SRE.pdf (binary same size 220089 B)"
Deva_Resume_SRE.pdf,By_Role/SDE_Backend/Deva_Resume_SRE.pdf,pdf,2026-04-22,SRE / Reliability / Backend,(general SRE),Customized,"Tagline: ""Software Engineer • Backend & Infrastructure • Distributed Systems""","Identical body to Deva_Anand_Resume.pdf"
Deva_Resume_ML.pdf,By_Role/ML/Deva_Resume_ML.pdf,pdf,2026-04-20,ML Engineer / Agentic AI Systems,(general ML),Customized,"Tagline: ""Software Engineer • Agentic AI Systems • ML Systems""",
Deva_Resume_V2.pdf,By_Role/ML/Deva_Resume_V2.pdf,pdf,2026-04-08,Machine Learning Engineer,(general MLE),Customized,"Tagline: ""Machine Learning Engineer • ML Systems & Backend""; KG2RAG + LLM Inference + Distributed Training Simulator projects",
Deva_Resume_CF_v1.pdf,By_Role/Cloudflare/Deva_Resume_CF_v1.pdf,pdf,2026-03-29,Backend Systems & Infrastructure,Cloudflare,Customized,"Tagline: ""Software Engineer Backend, Systems & Infrastructure""; HighThroughput Inference + Distributed Training + Scalar-Tensor Autograd projects",
Deva_Resume_ML_v1.pdf,By_Role/ML/Deva_Resume_ML_v1.pdf,pdf,2026-03-26,Machine Learning Engineer,(general MLE),Customized,"Earlier MLE version; same project list as V2",
Deva_CIIR_AIX_Resume_v2.pdf,By_Role/Research_CIIR/Deva_CIIR_AIX_Resume_v2.pdf,pdf,2026-03-26,Software Engineer (research),CIIR / AIX (UMass),Customized,"Tagline: ""Software Engineer""",
Deva_CIIR_AIX_Resume_v2.tex,By_Role/Research_CIIR/Deva_CIIR_AIX_Resume_v2.tex,tex,2026-03-26,Software Engineer (research),CIIR / AIX (UMass),Source,"LaTeX source of CIIR resume v2",
Deva_CIIR_AIX_Resume.pdf,By_Role/Research_CIIR/Deva_CIIR_AIX_Resume.pdf,pdf,2026-03-26,Python / IR / NLP / LLM Systems,CIIR / AIX (UMass),Customized,"Tagline: ""Software Engineer • Python, Information Retrieval, NLP & LLM Systems""",
Deva_Resume_SDE_v1.pdf,By_Role/SDE_Backend/Deva_Resume_SDE_v1.pdf,pdf,2026-03-26,SDE / Backend / Systems / Infra,(general SDE),Customized,"Tagline: ""Software Engineer • Backend, Systems & Infrastructure""",
Deva_Resume_v1.pdf,By_Role/ML/Deva_Resume_v1.pdf,pdf,2026-03-25,Machine Learning Engineer,(general MLE),Customized,"Includes Scalar-Tensor Autograd Engine project",
Deva_Resume_ML_hybrid_final.tex,By_Role/ML/Deva_Resume_ML_hybrid_final.tex,tex,2026-03-25,Machine Learning Engineer,(general MLE),Source,"LaTeX source — needs review which PDF this matches"
Deva_Resume_SDE_FullStack_FINAL.pdf,By_Role/SDE_Backend/Deva_Resume_SDE_FullStack_FINAL.pdf,pdf,2026-03-24,SDE / Backend / Full-Stack,(general),Customized,"Tagline: ""Software Engineer · Backend & Full-Stack""; only resume that includes Vels Institute (undergrad) explicitly + Sonare hackathon project",
Deva_Resume_PayPal.pdf,By_Role/Older_Versions/Deva_Resume_PayPal.pdf,pdf,2026-01-15,Backend & Full-Stack,PayPal,Customized,"Tagline: ""Software Engineer • Backend & Full-Stack""; includes Gym Management & Membership Platform project bullet",
Deva_Resume_Verkada.pdf,By_Role/Older_Versions/Deva_Resume_Verkada.pdf,pdf,2026-01-19,Backend & Distributed Systems,Verkada,Customized,"Tagline: ""Software Engineer • Backend & Distributed Systems""",
Deva_Resume_FullStack_Dec10.pdf,By_Role/Older_Versions/Deva_Resume_FullStack_Dec10.pdf,pdf,2025-12-10,Full-Stack Developer,(general),Customized,"Includes Sonare hackathon + Spark ETL + Distributed Training projects",
Deva_Resume_FullStack_Jan19_dup.pdf,By_Role/Older_Versions/Deva_Resume_FullStack_Jan19_dup.pdf,pdf,2025-12-10,Full-Stack Developer,(general),Customized,"MD5-identical to Deva_Resume_FullStack_Dec10.pdf — kept under different name because filesystem perms blocked deletion","Identical to Deva_Resume_FullStack_Dec10.pdf (md5 8fb2f8758877020c1e540851bc2e2b7b)"
Deva_Resume_ML_Dec15.pdf,By_Role/Older_Versions/Deva_Resume_ML_Dec15.pdf,pdf,2025-12-15,Machine Learning Engineer / ML Systems & Data Platforms,(general MLE),Customized,"Older ML targeting; lists Recommendation System (Last.fm) + Alzheimer's classification + Spark ETL projects",
Deva_Resume_Nov21.pdf,By_Role/Older_Versions/Deva_Resume_Nov21.pdf,pdf,2025-11-21,SWE,(general),General,"Earliest version on file; includes Distributed Training Simulator + CI/CD Pipeline for ML Models + Scalable Recommendation System projects; no tagline below name",
Deva_CL_AmazonR.pdf,Cover_Letters/Deva_CL_AmazonR.pdf,pdf,2026-03-17,Backend & ML Systems,Amazon,Cover letter,"Includes Vels Institute undergrad explicitly; long-form bullet variants",
Deva_CL_AmazonR_Jan19.pdf,By_Role/Older_Versions/Deva_CL_AmazonR_Jan19.pdf,pdf,2026-01-19,(unknown),Amazon,Cover letter,"Older Amazon CL — Needs review whether content differs from Mar 17 version",
Deva_CL_CF.pdf,Cover_Letters/Deva_CL_CF.pdf,pdf,2026-03-29,Backend / Infra,Cloudflare,Cover letter,"v1; classic Cloudflare CL voice","Older sibling of Deva_CL_CF_v3.pdf"
Deva_CL_CF_v3.pdf,Cover_Letters/Deva_CL_CF_v3.pdf,pdf,2026-03-29,Backend / Infra,Cloudflare,Cover letter,"v3; mentions cf ai research scout project + Dynamic Workers/Workers AI interest",
Deva_CL_DropBox.pdf,Cover_Letters/Deva_CL_DropBox.pdf,pdf,2026-01-19,(unknown),Dropbox,Cover letter,"Needs review — older CL, content not parsed",
Sentry_CL_Deva.pdf,Cover_Letters/Sentry_CL_Deva.pdf,pdf,2026-04-24,SWE Intern Fall 2026,Sentry,Cover letter,"Mentions AgenticSearch + Spark ETL + Sonare-style cross-platform app",
Career_Master_Document.md,Career_Master_Document.md,md,2026-05-07,(reference),(N/A),Brain dump (existing),"Earlier brain-dump iteration produced in prior session; Career_Brain_Dump.md is the new full version",
